filename,title,source_url,present
043_13_May__Issue_43_.html,Update: 13 May (Issue 43),https://uclnews.org.uk/t/UAA-6VE33-BBUGAA3A64/cr.aspx,yes
044_14_May__Issue_44_.html,Update: 14 May (Issue 44),https://uclnews.org.uk/UAA-6VFC0-C4L93RY52B/cr.aspx,yes
045_15_May__Issue_45_.html,Update: 15 May (Issue 45),https://uclnews.org.uk/UAA-6VHQQ-EEUWW3JN9E/cr.aspx,yes
046_18_May__Issue_46_.html,Update: 18 May (Issue 46),https://uclnews.org.uk/UAA-6VJZW-EEUWW3JN9E/cr.aspx,yes
047_19_May__Issue_47_.html,Update: 19 May (Issue 47),https://uclnews.org.uk/t/UAA-6VN7Z-BBUGAA3A64/cr.aspx,yes
048_20_May__Issue_48_.html,Update: 20 May (Issue 48),https://uclnews.org.uk/t/UAA-6VOJZ-BBUGAA3A64/cr.aspx,yes
049_21_May__Issue_49_.html,Update: 21 May (Issue 49),https://uclnews.org.uk/UAA-6VRJV-EEUWW3JN9E/cr.aspx,yes
050_22_May__Issue_50_.html,Update: 22 May (Issue 50),https://uclnews.org.uk/t/UAA-6VT9S-BBUGAA3A64/cr.aspx,yes
051_26_May__Issue_51_.html,Update: 26 May (Issue 51),https://uclnews.org.uk/UAA-6VWPN-EEUWW3JN9E/cr.aspx,yes
052_27_May__Issue_52_.html,Update: 27 May (Issue 52),https://uclnews.org.uk/UAA-6VZD7-EEUWW3JN9E/cr.aspx,yes
053_28_May__Issue_53_.html,Update: 28 May (Issue 53),https://uclnews.org.uk/UAA-6W1LM-EEUWW3JN9E/cr.aspx,yes
054_29_May__Issue_54_.html,Update: 29 May (Issue 54),https://uclnews.org.uk/UAA-6W3O0-EEUWW3JN9E/cr.aspx,yes
055_1_June__Issue_55_.html,Update: 1 June (Issue 55),https://uclnews.org.uk/t/UAA-6W6GA-BBUGAA3A64/cr.aspx,yes
056_2_June__Issue_56_.html,Update: 2 June (Issue 56),https://uclnews.org.uk/t/UAA-6W9G2-BBUGAA3A64/cr.aspx,yes
057_3_June__Issue_57_.html,Update: 3 June (Issue 57),https://uclnews.org.uk/UAA-6WCCP-EEUWW3JN9E/cr.aspx,yes
058_4_June__Issue_58_.html,Update: 4 June (Issue 58),https://uclnews.org.uk/t/UAA-6WEJ3-BBUGAA3A64/cr.aspx,yes
059_5_June__Issue_59_.html,Update: 5 June (Issue 59),https://uclnews.org.uk/t/UAA-6WFU2-BBUGAA3A64/cr.aspx,yes
060_8_June__Issue_60_.html,Update: 8 June (Issue 60),https://uclnews.org.uk/UAA-6WKBY-EEUWW3JN9E/cr.aspx,yes
061_9_June__Issue_61_.html,Update: 9 June (Issue 61),https://uclnews.org.uk/UAA-6WLT7-EEUWW3JN9E/cr.aspx,yes
062_10_June__Issue_62_.html,Update: 10 June (Issue 62),https://uclnews.org.uk/UAA-6WOMF-EEUWW3JN9E/cr.aspx,yes
